타입,설명,일반적인 서브타입
text,텍스트를 포함하는 모든 문서를 나타내며 이론상으로는 인간이 읽을 수 있어야 합니다.,"text/plain, text/html, text/css, text/javascript"
image,"모든 종류의 이미지를 나타냅니다. (animated gif처럼) 애니메이션되는 이미지가 이미지 타입에 포함되긴 하지만, 비디오는 포함되지 않습니다.","image/gif, image/png, image/jpeg, image/bmp, image/webp"
audio,모든 종류의 오디오 파일들을 나타냅니다.,"audio/midi, audio/mpeg, audio/webm, audio/ogg, audio/wav"
video,모든 종류의 비디오 파일들을 나타냅니다.,"video/webm, video/ogg"
application,모든 종류의 이진 데이터를 나타냅니다.,"application/octet-stream, application/pkcs12, application/vnd.mspowerpoint, application/xhtml+xml, application/xml, application/pdf"
multipart,여러 MIME 타입들을 포함하는 합성된 문서를 나타냅니다.,"multipart/form-data, multipart/byteranges"
